Name	Set	Imagefile	Color	Rarity	Cost	Class	Type	Range	Attack	Support	Skill#1	Skill#2	Skill#3	Skill#4	
Nanna, Headstrong Princess	AD01	AD01-008	Yellow	CustomsAG	3(2)	Troubadour	Female/Staff/Beast	-	50	20	"We can save everyone!" |ACT| [Tap your Main Character, Flip 1 Bond face-down] Place 1 card from your hand into your Bond Area.	Training put to the Test |CONT| If you have 3 or less Orbs, this unit gains +10 attack and acquires <Sword>.	-	-
Nanna, Heavenly Lioness	AD01	AD01-009	Yellow	CustomsAG	5(4)	Paladin	Female/Sword/Beast	1	70	10	Valiant Love |AUTO| When this unit Class Changes, draw 1 card for every 5 Bond cards you have.	Bloodline of the Demon Sword |CONT| During your turn, if you have 6 or more Bonds, this unit gains +10 attack and acquires range 1-2.	"Stand and Fight” |AUTO| After resolving this unit’s "Valiant Love”, if you have 1 or less Orbs, choose 1 of your Bonds and add it to your hand.	-
Grahnye, Lion's Bride	AD01	AD01-010	Yellow	CustomsAG	0	Noble	Female/Lance	-	20	20	"Keeping Ares safe.” |AUTO| When this unit is sent to the Retreat Area from your hand by the effect of an enemy skill, or opponent’s Support Skill, choose 1 "Ares” in your Retreat Area, and add it to your hand.	Divided Hearts |AUTO| When one of your Orbs is sent to another Area by the effect of a skill, draw 1 card. Then, send this unit to the Boundless Area.	-	-
Quan, Njorun's Heir	AD01	AD01-011	Yellow	CustomsAG	1	Lance Knight	Male/Lance/Beast	1	40	10	Ties with the Royal Academy |CONT| If you have an allied "Sigurd" or "Eldigan", this unit gains +10 attack.	-	-	|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack.
Quan, Mentor and Leader	AD01	AD01-012	Yellow	CustomsAG	3(2)	Duke Knight	Male/Lance/Beast	1	60	10	"Hold the Lance like So" |ACT| [Once Per Turn] [Flip 1 Bond face-down] Until the end of the turn, <Lance> allies gain +10 attack.	-	-	-
Quan, Crusader with the Cursed Lance	AD01	AD01-013	Yellow	CustomsAG	4(3)	Duke Knight	Male/Lance/Beast	1	70	10	The Unstoppable Lanzenritter's Leader |CONT| During your turn, this unit gains +10 attack for each "Quan", "Ethyln", or "Altena" in your Bond Area.	Earthshattering Gae Bolg | AUTO| [Flip 1 <Lance> Bond face-down] When this unit attacks or is attacked and his Attack is 100 or more, you may pay the cost and if you do: Destroy 1 non-Main Character enemy other than the enemy in combat.	[BS] "As long as I have the Gae Bolg..." |BOND| |AUTO| [Flip this card face-down] At the start of each player’s turn, you may pay the cost and if you do: Until the end of the turn, your Main Character acquires the following skill: "|CONT| Until the end of the turn, this unit gains +30 attack. At the end of this unit's first combat, it loses this skill." You may only use "As long as I have the Gae Bolg..." once per turn.	-
Ethlyn, Lady of Leonster	AD01	AD01-014	Yellow	CustomsAG	1	Troubadour	Female/Staff/Beast	-	20	20	Heal |ACT| [Tap this unit, Flip 2 Bonds face-down] Choose 1 non-"Ethlyn" card from your Retreat Area, and add it to your hand.	Caring Sister |AUTO| [Once Per Turn] When your Main Character is being attacked, until the end of this combat, your Main Character gains +10 Attack.	-	|DEF SUPP| Miracle Emblem: Until the end of this combat, your opponent's attacking unit cannot perform a Critical Hit.
Ethlyn, Light-Wielding Holy Knight	AD01	AD01-015	Yellow	CustomsAG	3(2)	Paladin	Female/Sword/Beast	1	60	10	(CCS) Path of Hope |CONT| This unit gains +10 Attack.	[BS] Baldr's Descendants |BOND| |ACT| [Flip this card face down] Choose 1 allied "Seliph", "Sigurd", or "Ethlyn". Until the end of the turn, that unit gains +30 attack.	-	-
Ethlyn, Lambent Holy Dutchess	AD01	AD01-016	Yellow	CustomsAG	5(4)	Paladin	Female/Sword/Beast	1	70	10	Prayer of Hope |AUTO| When this unit is Class Changed into, you may choose 1 of your face down Bond cards, and flip it face up.	"I'll protect you all!" |ACT| [Once Per Turn] [Send1 "Ethlyn" from your hand into your Bond Area] Choose 1 ally. Until the end of your opponent's next turn, that unit gains +10 attack, and cannot be destroyed by skills.	[BS] Dispel the Darkness |BOND| |AUTO| [Flip this card face down] When a face-down card would be placed in your Bond Area, you may pay the cost and if you do: Place it face-up instead.	-
Finn, Faithful Lance Knight	AD01	AD01-017	Yellow	CustomsAG	1	Lance Knight	Male/Lance/Beast	1	40	10	"I will serve my master" |AUTO| When this unit is deployed, until the end of the turn, your Main Character gains +10 attack.	-	-	|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack.
Finn, Hero in Hiding	AD01	AD01-018	Yellow	CustomsAG	3(2)	Duke Knight	Male/Lance/Beast	1	60	10	Waiting and Training |AUTO| At the start of your opponent's turn, if this unit is untapped, then until the end of the turn, it gains +20 attack.	"My Oath to Quan" |CONT| This unit cannot be moved by the effect of an enemy's skill.	-	-
Finn, Guardian of a Nation's Hopes	AD01	AD01-019	Yellow	CustomsAG	4(3)	Duke Knight	Male/Lance/Beast	1	70	10	Bequeathed Brave Lance |ACT| [Once Per Turn] If you have an allied "Quan" with Deployment cost 3 or higher, untap this unit.	Hero Wielding the Azure Lance |AUTO| When an ally with a Deployment Cost 3 or lower is deployed, this unit gains +10 attack until the end of the turn.	Rally to Victory |AUTO| [Flip 1 Bond face-down] At the start of your turn, you may pay the cost and if you do: Choose 1 card with a Deployment Cost of 3 or lower from your Bond Area, and deploy it.	-
Brigid, Proud Pirate	AD01	AD01-020	Yellow	CustomsAG	1	Archer	Female/Bow	2	30	20	Orgahil's Heir |CONT| If this unit attacks an enemy with a Deployment Cost of 1, this unit gains +10 attack.	Anti-Fliers |CONT| If this unit is attacking a <Flier>, this unit gains +30 attack.	-	|ATK SUPP| Bullseye Emblem: Until the end of this combat, Non-Main Character defending enemies cannot evade.
Eyvel, Corsair-Turned Crusader	AD01	AD01-021	Yellow	CustomsAG	4(3)	Swordmaster	Female/Sword	1	70	10	Regained Memories |SPEC| Treat this card as if its Unit Name is also "Brigid".	(CCS) Legendary Bow Yewfelle |CONT| This unit aquires <Bow>, range 2, and the following skill: "Anti-Fliers |CONT| If this unit is attacking a <Flier>, this unit gains +30 attack."	Flare Brand |ACT| [Once Per Turn] [Flip 1 Bond face-down] Until the end of the turn, the number of Orbs this unit's attack destroys becomes 2. If this unit has <Bow>, you may choose up to 1 enemy, and move them.	-
Lewyn, Wind of Freedom	AD01	AD01-022	Yellow	CustomsAG	5(4)	Sage	Male/Tome	1-2	60	20	Silessian Vessel |SPEC| [Flip 1 Bond face-down] When an allied Lewyn is destroyed, you may pay the cost and if you do: Deploy this unit or stack it on on top of an allied "Lewyn" to Level Up him.	Holy Magic of Forsetti |CONT|  Allies cannot be moved by the cost or effect of enemy skills. If you have 1 or more <Flier> allies, this unit aquires <Flier>.	[BS] Guiding Wind |BOND| |AUTO| When this card is placed in the Bond Area, choose 1 of your Orbs and place it in your Bond Area. If you do, choose 1 other face up Bonds and add it to your Orbs. "Guiding Wind" may only be used once per turn.	-
Annand, Silessian Emissary	AD01	AD01-023	Yellow	CustomsAG	1	Pegasus Knight	Female/Lance/Flier/Beast	1	30	30	Protector of the Prince |AUTO| [Tap this unit] When a <Flier> ally is attacked by a <Bow>, you may pay the cost and if you do: This unit becomes the target of that attack instead.	-	-	|ATK SUPP| Flying Emblem: Choose 1 ally, other than your attacking unit. You may move that ally.
Annand, Fallen Wings	AD01	AD01-024	Yellow	CustomsAG	4(3)	Falcon Knight	Female/Lance/Flier/Beast	1	60	30	Defender of Silesse |ACT| [Tap 1 ally] Choose 1 Flier ally and move them. If you have 8 or more Bonds, you may use this skill without paying its cost.	Winged Army |CONT| During your turn, this unit gains +10 attack for every other Flier ally.	-	-
Fee, Pegasus Recruit	AD01	AD01-025	Yellow	CustomsAG	1	Pegasus Knight	Female/Lance/Flier/Beast	1	30	30	Winged Assault |AUTO| When another <Flier> ally is deployed, then until the end of the turn, this unit gains +10 attack.	-	-	|ATK SUPP| Flying Emblem: Choose 1 ally, other than your attacking unit. You may move that ally.
Fee, Winter Falcon	AD01	AD01-026	Yellow	CustomsAG	4(3)	Falcon Knight	Female/Lance/Flier/Beast	1	60	30	Advance of the Silessean Guard |AUTO| At the start of your turn, you may choose up to 3 <Flier> allies, and move them. Until the end of the turn, the chosen allies gain +10 attack.	Healing from the Heavens |ACT| [Once Per Turn] [Flip 1 Bond face-down] Choose 1 non-"Fee" <Flier> card from your Retreat Area, and add it to your hand.	-	-
Arthur, Spark on the Wind	AD01	AD01-027	Yellow	CustomsAG	1	Thunder Mage	Male/Tome	1-2	30	20	Winged Aid |CONT| During your turn, if you have 1 or more <Flier> allies, this unit gains +10 attack.	-	-	|ATK SUPP| Magic Emblem: Draw 1 card. Choose 1 card from your hand, and send it to the Retreat Area.
Arthur, The Perfect Storm	AD01	AD01-028	Yellow	CustomsAG	4(3)	Mage Knight	Male/Tome	1-2	60	20	Wind-Emboldened Bloodline |SPEC| If your Main Character is a <Flier>, this card acquires <Flier>, and its Support Value becomes 30.	Force of Forsetti and Thrud |CONT| If this unit Critical Hits, you may send a <Flier> card from your hand to the Retreat Area instead of an "Arthur".	Wrathful Tornado |CONT| If you have 2 or more other <Flier> allies, the number of Orbs this unit's attack will destroy is becomes 2.	-
Deirdre, Priestess of Divine Blood	AD01	AD01-029	Yellow	CustomsAG	2	Priestess	Female/Tome	1-2	40	20	Faithful Heart |AUTO| [Once Per turn] [Flip 1 Bond face-down] When this unit's attack destroys an enemy, you may pay the cost, and if you do: Choose 1 card from your hand, reveal it, and place it face-down in your Bond Area.	-	-	-
Deirdre, Crusader of Calamitous Bloodline	AD01	AD01-030	Yellow	CustomsAG	5(4)	Sage	Female/Tome	1-2	60	20	Nihil |CONT| While you have 3 or more <Yellow> Bonds, <Yellow> <Tome> allies cannot be destroyed by the cost or effect of skills.	Blinding Dragon of Light |CONT| Non-Main Character <Dragonstone> enemies lose -10 attack.	[BS] Naga, Origin Dragon of Heavenly Light |BOND| |ACT| [Flip 1 other Bond Face-down, Send this card to the Boundless Area] Choose 1 card from your Retreat Area, and place it in your Bond Area.	-
Deirdre, Crusader of Calamitous Bloodline+	AD01	AD01-030+	Yellow	CustomsAG+	5(4)	Sage	Female/Tome	1-2	60	20	Nihil |CONT| While you have 3 or more <Yellow> Bonds, <Yellow> <Tome> allies cannot be destroyed by the cost or effect of skills.	Blinding Dragon of Light |CONT| Non-Main Character <Dragonstone> enemies lose -10 attack.	[BS] Naga, Origin Dragon of Heavenly Light |BOND| |ACT| [Flip 1 other Bond Face-down, Send this card to the Boundless Area] Choose 1 card from your Retreat Area, and place it in your Bond Area.	-
Julia, Imperial Daughter	AD01	AD01-031	Yellow	CustomsAG	1	Preistess	Female/Tome	1-2	30	20	Slumbering Power |AUTO| When this unit is deployed, you may choose 1 card from your Boundless Area and add it to your Bond Area. If you do, choose 1 of your face-up Bonds and send it to the Boundless Area.	-	-	|ATK SUPP| Holy Blood Emblem: If you have as many as or fewer Bond cards than your opponent, you may choose 1 card from your hand, and place it in the Bond Area.
Julia, Queen of the Beginning	AD01	AD01-032	Yellow	CustomsAG	5(4)	Sage	Female/Tome	1-2	30	20	Successor of the Holy Naga |AUTO| When you Class Changed into this card, look at the top 3 cards of your Deck. Choose 1 card from among them, and place it in your Bond Area. Send the rest to your Retreat Area.	Holy Light and Unholy Dark |ACT| [Once Per Turn] Choose 1 card from your Boundless Area, and place it in your Bond Area. If you do, choose 1 of your Bond Area, and send it to the Retreat Area.	-	-
Patty, Not a Thief	AD01	AD01-033	Yellow	CustomsAG	1	Thief	Female/Sword	1	30	10	"Show me Shannan!" |CONT| If you have an allied "Shannan", this unit gains +10 attack.	-	-	|ATK SUPP| Provisions Emblem: [Flip 1 Bond face-down] If you have 4 or fewer cards in your hand, you may pay the cost, and if you do: Draw 1 card.
Patty, Queen of Thieves	AD01	AD01-034	Yellow	CustomsAG	4(3)	Thief Fighter	Female/Sword	1	70	10	"Gotta grab and go!" |ACT| [Flip 1 Bond face-down] Both Players set aside any number of cards in their hand; then count the number of cards they set aside, and shuffle them back into the deck.  Both players then draw a number of cards equal to the cards they shuffled.  Until the end of your opponent's next turn, this unit gains +10 Attack for each card your opponent drew using this card's effect.  If your opponent drew 1 or less cards from this effect, choose one of your bond cards and unflip it.	"Sorry pal, but this loot's all mine!" |AUTO| [Once Per Turn] When this unit's attack destroys an enemy with a Deployment cost 5 or higher, reveal the top 2 cards of your opponent's Deck. You may send any of them to the Retreat Area.	-	-
Shannan, Remorseful Prince	AD01	AD01-035	Yellow	CustomsAG	1	Sword Fighter	Male/Sword	1	40	10	A Clean Cut |AUTO| [Once Per Turn] When a <Sword> card is placed in your Bond Area, then until the end of the turn, this unit gains +20 attack.	-	-	|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack.
Shannan, Heir to Odo	AD01	AD01-036	Yellow	CustomsAG	3(2)	Swordmaster	Male/Sword	1	60	10	Protector of the Weak |CONT| If you have 1 or more other allies with a Deployment Cost of 1 or less, this unit gains +10 attack.	[BS] Focused Stance |BOND| |ACT| [Add this card from your Bond Area to your hand] Choose 1 <Yellow> <Sword> ally. Until the end of the turn, that ally gains +20 attack. Choose 1 card from your hand, and place it face-down in your Bond Area.	-	-
Saias, Velthomer Noble	AD01	AD01-037	Yellow	CustomsAG	1	Priest	Male/Staff	-	20	20	Heal |ACT| [Tap this unit, Flip 2 Bonds face-down] Choose 1 non-"Saias" card from your Retreat Area, and add it to your hand.	Purification |ACT| [Once Per Turn] Reveal the top card of your Deck. You may send that card to the Boundless Area. If you do not, send it to the Retreat Area.	-	|DEF SUPP| Miracle Emblem: Until the end of this combat, your opponent's attacking unit cannot perform a Critical Hit.
Saias, Purifying Flame	AD01	AD01-038	Yellow	CustomsAG	5(4)	High Priest	Male/Tome	1-2	60	20	Kindling Flame for the Weak |ACT| [Once Per Turn] [Flip 1 Bond face-down] Choose 1 card in your Boundless Area with the same Unit Name as your Main Character, and add it to your hand.	Purifying Flame of Absoluteness |ACT| [Flip 3 Bonds face-down] Choose 2 <Yellow> cards in your Boundless Area with Deployment Cost 5 or less. Deploy 1 of the chosen cards and place the other in your Bond Area.	-	-
Ishtar, Beautiful Princess of Friege	AD01	AD01-039	Yellow	CustomsAG	1	Thunder Mage	Female/Tome	1-2	30	20	Gathering Storm |AUTO| [Flip 1 Bond face-down] When this unit's attack destroys an enemy, you may pay the cost and if you do: Choose 1 "Ishtar" from your Retreat Area, and add it to your hand.	-	-	|ATK SUPP| Magic Emblem: Draw 1 card. Choose 1 card from your hand, and send it to the Retreat Area.
Ishtar, Noble in the Storm	AD01	AD01-040	Yellow	CustomsAG	3(2)	Sage	Female/Tome	1-2	50	20	Shielded by Thunder |CONT| If you havel an allied Reinhardt, this unit gains +10 attack.	[BS] Rattling Lightning |BOND| |ACT| [Send this card to the Boundless Area] Choose 1 of your opponent's Bond cards and flip it face-down. This can only be used while you have an allied "Ishtar".	-	-
Ishtar, Lightning's Final Strike	AD01	AD01-041	Yellow	CustomsAG	5(4)	Sage	Female/Tome	1-2	60	20	Brilliant Adept |ACT| [Once Per Turn] [Send 1 "Ishtar" from your hand to the Retreat Area] Destroy 1 non-Main Character enemy.	Mjolnir, Sky Rending Tome |AUTO| [Flip 2 Bonds face-down] When this unit destroys an enemy, you may pay the cost and if you do: Choose 1 non-Main Character enemy, and place it in your opponent’s Bond Area face-down. Then, choose 1 card from your opponent's Bond Area with the same Symbol as the destroyed unit, and send it to the Retreat Area.	-	-
Reinhardt, Commited Noble	AD01	AD01-042	Yellow	CustomsAG	1	Mage	Male/Tome	1-2	30	20	Thunder's Child |CONT| If this unit is attacking your opponent's Main Character, this unit gains +10 attack.	-	-	|ATK SUPP| Magic Emblem: Draw 1 card. Choose 1 card from your hand, and send it to the Retreat Area.
Reinhardt, Friegan Vessel	AD01	AD01-043	Yellow	CustomsAG	3(2)	Mage Fighter	Male/Sword	1	60	20	Lightning Guardian |CONT| If you have an allied "Ishtar", this unit gains +10 attack.	Magical Inheritance |ACT| [Flip 1 Bond face-down] Until the end of the turn, this unit acquires <Tome> and range 1-2.	-	-
Reinhardt, Leader of the Gelbenritter	AD01	AD01-044	Yellow	CustomsAG	4(3)	Mage Knight	Male/Tome	1-2	60	20	Eradicating Lightning |ACT| [Flip 1 <Yellow> Bond face-down] Until the end of the turn, this unit gains +30 attack.	"Magic is Everything!" |AUTO| [Once Per Turn] When this unit untapped by the effect of a skill, draw 1 card.	[BS] The Pride of Friege |BOND| |ACT| [Flip 1 Bond face-down] If an allied "Reinhardt" has 120 or more attack, you may pay the cost and if you do: Stack this card on top of an allied "Reinhardt" to Level Up them. Untap that unit.	-
Arvis, Young Idealist	AD01	AD01-045	Yellow	CustomsAG	1	Fire Mage	Male/Tome	1-2	30	20	Flaming Tenacity |CONT| During your opponent's turn, if this unit is in the Front Line, this unit gains +10 attack	-	-	|ATK SUPP| Tactical Emblem: If your attacking unit is <Yellow>, choose 1 enemy other than the defending unit. You may move that enemy.
Arvis, Heir of Velthomer	AD01	AD01-046	Yellow	CustomsAG	3(2)	Sage	Male/Tome	1-2	50	20	Resonant Blood |CONT| If you have an allied "Deirdre", this unit gains +10 attack	Velthomer's Pawns |ACT| [Once Per Turn] Choose 1 card with a Deployment Cost of 1 from your Retreat Area. Send that card to the Boundless Area. If you do, then until the end of the turn, this unit gains +10 attack.	-	-
Arvis, Imperial Inferno	AD01	AD01-047	Yellow	CustomsAG+	5(4)	Emperor	Male/Tome	1-2	60	20	"Bring these wretches to their wretched end" |ACT| [Once Per Turn] [Send 1 Bond card to your Boundless Area] Choose 1 non-Main Character enemy, and send them to the Boundless Area. This skill can only be used if you have 8 or more cards in your Boundless Area.	Valflame, Fjalar's Inferno |ACT| [Once Per Turn] [Send 2 of your Bond cards to the Boundless Area] - Draw 1 card. Until the end of the turn, this unit acquires the following skill: "|CONT| - This unit gains +10 attack for every 2 of your Face-Down Bonds."	Stoking the Flames of our Ideals |AUTO| If 1 or more Bond cards are moved from your Bond Area to the Boundless Area by the effect of a skill, place the top card of your Deck face-down into your Bond Area. This skill can only trigger if you have 5 or less Bond cards.	 
Arvis, Imperial Inferno+	AD01	AD01-047+	Yellow	CustomsAG	5(4)	Emperor	Male/Tome	1-2	60	20	"Bring these wretches to their wretched end" |ACT| [Once Per Turn] [Send 1 Bond card to your Boundless Area] Choose 1 non-Main Character enemy, and send them to the Boundless Area. This skill can only be used if you have 8 or more cards in your Boundless Area.	Valflame, Fjalar's Inferno |ACT| [Once Per Turn] [Send 2 of your Bond cards to the Boundless Area] - Draw 1 card. Until the end of the turn, this unit acquires the following skill: "|CONT| - This unit gains +10 attack for every 2 of your Face-Down Bonds."	Stoking the Flames of our Ideals |AUTO| If 1 or more Bond cards are moved from your Bond Area to the Boundless Area by the effect of a skill, place the top card of your Deck face-down into your Bond Area. This skill can only trigger if you have 5 or less Bond cards.	 
Julius, Reborn Evil	AD01	AD01-048	Yellow	CustomsAG	1	Fire Mage	Male/Tome	1-2	30	20	[BS] My Will be Done |BOND| |AUTO|  [Once Per Turn] When 1 or more "Arvis" is sent to the Boundless Area, you may choose 1 of your <Yellow> Bond cards, and send it to the Boundless Area. If you do, place the top card of your Deck into your Bond Area.	-	-	|ATK SUPP| Tactical Emblem: If your attacking unit is <Yellow>, choose 1 enemy other than the defending unit. You may move that enemy.
Julius, Emperor of the End	AD01	AD01-049	Yellow	CustomsAG	4(3)	Dark Prince	Male/Tome	1-2	60	20	"You cannot touch me!" |AUTO| At the start of your opponent's turn, your opponent may tap their Main Character. If they do not, until the end of this turn, this unit cannot be destroyed by the attacks of enemies in the Back Line.	Dark Power of Loptuous |ACT| [Once Per Turn] [Send 1 "Arvis" from the Bond Area to the Boundless Area] Choose 1 card from your opponent's hand, and reveal it. If that card has the same Unit Name as your opponent's Main Character, send it to the Retreat Area. Then, choose 1 of their Bonds, and flip it face-down.	[BS] Scion of Darkness |BOND| |ACT| [Flip this card and 1 "Julius" Bond face-down] Choose 1 of your opponent's Bonds and flip it face-down. Choose 1 "Julius" from your Retreat Area, and add it to your hand.	-
Loptous, Avarice Dragon	AD01	AD01-050	Yellow	CustomsAG	5	Dark Dragon	Dragon	-	0	0	Fated Possession |SPEC| This card's Unit Name is treated as "Julius".	[BS] Loptous: Unholy Tome |BOND| |CONT| Your allied "Julius" gains +20 attack, and cannot be destroyed by the cost or effect of skills. This skill is only active if your opponent has 5 or more face-down Bond cards. Only one "Loptous: Unholy Tome" can be active at a time.	-	-
Byleth (Male), Student's Hope	AD01	AD01-051	Brown	CustomsAG	4(3)	Hero	Male/Sword	1	70	20	Professor's Tutelage |CONT| During your turn, all other allies in the same row as this unit gain +10 Attack.	Commanding Voice |ACT| [Once Per Turn] Choose 1 non-Main Character ally and move them.	[CP] Heart of the Crest of Flames |HAND| |ACT| [Reveal this card and 1 card with a CP from your hand] This card acquires and activates the CP of the other card revealed for this card’s cost. (You must still meet the requirements and pay the cost to use the CP).	-
Byleth (Female), Professor of Fate	AD01	AD01-052	Brown	CustomsAG	1	Commoner	Female/Sword	1	40	20	"Today's Homework is..." |AUTO| When this unit's attack destroys an enemy, draw 1 card. Choose 1 card from your hand, and send it to the Retreat Area.	-	-	|ATK SUPP| Fate Emblem: If your attacking unit is <Brown>, draw 1 card. If you do, choose 1 card from your hand, and place it on top of your Deck.
Byleth (Female), Steadfast Teacher	AD01	AD01-053	Brown	CustomsAG	3(2)	Myrmidon	Female/Sword	1	60	20	Lesson Plan |AUTO| At the start of your turn, choose 1 ally. Until the end of the turn, the chosen ally gains +10 attack.	Watch and Learn |AUTO| [Flip 1 Bond face-down] When this unit's attack destroys an enemy, you may pay the cost and if you do: Choose 1 <Brown> card with a Deployment Cost of 1 in your Retreat, and deploy it.	-	-
Byleth (Female), Devoted Professor	AD01	AD01-054	Brown	CustomsAG	5(4)	Trickster	Female/Sword	1	70	20	Windsweep |ACT| [Once Per Turn] [Flip 1 Brown Bond] - Reveal the top 5 cards of your Deck. Choose 1 weapon attribute from among the revealed cards. Until the end of your opponent’s next turn, tap enemies who are deployed with that weapon type.	Sublime Heaven |AUTO| [Once Per Turn] During your turn, when you use a [CP] from your hand, until the end of your opponent's next turn, this unit gains +10 attack and acquires range 1-2.	-	-
Dorothea, Student Songstress	AD01	AD01-055	Brown	CustomsAG	1	Monk	Female/Tome	1-2	30	20	Harmony |CONT| During your turn, if you have 1 or more other <Tome> allies, this unit gains +10 attack.	-	-	|ATK SUPP| Magic Emblem: Draw 1 card. Choose 1 card from your hand, and send it to the Retreat Area.
